都道府県コード又は市区町村コード,地域コード,都道府県名,市区町村名,調査年月日,地域名,総人口,男性,女性,0歳の男性,0歳の女性,1歳の男性,1歳の女性,2歳の男性,2歳の女性,3歳の男性,3歳の女性,4歳の男性,4歳の女性,5歳の男性,5歳の女性,6歳の男性,6歳の女性,7歳の男性,7歳の女性,8歳の男性,8歳の女性,9歳の男性,9歳の女性,10歳の男性,10歳の女性,11歳の男性,11歳の女性,12歳の男性,12歳の女性,13歳の男性,13歳の女性,14歳の男性,14歳の女性,15歳の男性,15歳の女性,16歳の男性,16歳の女性,17歳の男性,17歳の女性,18歳の男性,18歳の女性,19歳の男性,19歳の女性,20歳の男性,20歳の女性,21歳の男性,21歳の女性,22歳の男性,22歳の女性,23歳の男性,23歳の女性,24歳の男性,24歳の女性,25歳の男性,25歳の女性,26歳の男性,26歳の女性,27歳の男性,27歳の女性,28歳の男性,28歳の女性,29歳の男性,29歳の女性,30歳の男性,30歳の女性,31歳の男性,31歳の女性,32歳の男性,32歳の女性,33歳の男性,33歳の女性,34歳の男性,34歳の女性,35歳の男性,35歳の女性,36歳の男性,36歳の女性,37歳の男性,37歳の女性,38歳の男性,38歳の女性,39歳の男性,39歳の女性,40歳の男性,40歳の女性,41歳の男性,41歳の女性,42歳の男性,42歳の女性,43歳の男性,43歳の女性,44歳の男性,44歳の女性,45歳の男性,45歳の女性,46歳の男性,46歳の女性,47歳の男性,47歳の女性,48歳の男性,48歳の女性,49歳の男性,49歳の女性,50歳の男性,50歳の女性,51歳の男性,51歳の女性,52歳の男性,52歳の女性,53歳の男性,53歳の女性,54歳の男性,54歳の女性,55歳の男性,55歳の女性,56歳の男性,56歳の女性,57歳の男性,57歳の女性,58歳の男性,58歳の女性,59歳の男性,59歳の女性,60歳の男性,60歳の女性,61歳の男性,61歳の女性,62歳の男性,62歳の女性,63歳の男性,63歳の女性,64歳の男性,64歳の女性,65歳の男性,65歳の女性,66歳の男性,66歳の女性,67歳の男性,67歳の女性,68歳の男性,68歳の女性,69歳の男性,69歳の女性,70歳の男性,70歳の女性,71歳の男性,71歳の女性,72歳の男性,72歳の女性,73歳の男性,73歳の女性,74歳の男性,74歳の女性,75歳の男性,75歳の女性,76歳の男性,76歳の女性,77歳の男性,77歳の女性,78歳の男性,78歳の女性,79歳の男性,79歳の女性,80歳の男性,80歳の女性,81歳の男性,81歳の女性,82歳の男性,82歳の女性,83歳の男性,83歳の女性,84歳の男性,84歳の女性,85歳の男性,85歳の女性,86歳の男性,86歳の女性,87歳の男性,87歳の女性,88歳の男性,88歳の女性,89歳の男性,89歳の女性,90歳の男性,90歳の女性,91歳の男性,91歳の女性,92歳の男性,92歳の女性,93歳の男性,93歳の女性,94歳の男性,94歳の女性,95歳の男性,95歳の女性,96歳の男性,96歳の女性,97歳の男性,97歳の女性,98歳の男性,98歳の女性,99歳の男性,99歳の女性,100歳の男性,100歳の女性,101歳の男性,101歳の女性,102歳の男性,102歳の女性,103歳の男性,103歳の女性,104歳の男性,104歳の女性,105歳以上の男性,105歳以上の女性,世帯数,備考
131199,362,東京都,板橋区,2022/12/31,志村二丁目,4247,2076,2171,14,13,16,6,11,13,12,11,16,12,13,20,19,12,22,19,18,10,21,20,12,15,18,10,15,15,18,12,17,20,17,19,19,17,13,16,19,21,18,14,28,24,26,21,21,26,26,38,35,30,25,28,23,26,24,29,27,35,26,20,24,25,18,23,31,19,26,24,9,27,24,22,17,16,24,25,30,26,19,24,32,26,17,27,22,29,42,28,31,24,27,27,38,26,31,38,43,39,34,31,30,45,35,33,43,34,34,33,40,45,31,31,38,30,34,44,32,25,34,28,23,29,30,38,26,25,24,27,23,31,27,26,24,26,21,25,25,31,21,28,21,20,29,24,32,44,35,25,27,27,33,32,20,23,11,12,25,17,15,19,14,20,12,23,10,14,14,12,9,16,8,11,7,14,8,17,5,12,4,8,3,14,3,6,3,4,2,7,2,8,1,3,0,1,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,2159,
131199,363,東京都,板橋区,2022/12/31,志村三丁目,3213,1563,1650,6,3,8,7,12,11,9,8,13,10,12,9,9,15,5,12,23,11,14,4,13,8,19,8,12,9,17,7,10,12,13,5,4,7,8,8,6,11,11,10,10,11,16,16,16,19,22,21,21,24,22,32,26,27,28,33,26,35,31,40,20,20,18,20,26,19,30,21,18,14,17,19,23,20,25,18,23,19,20,15,27,20,17,28,23,30,19,20,27,31,26,21,23,27,33,27,28,23,24,21,25,31,17,21,24,20,23,26,27,25,29,21,13,18,22,25,12,14,19,17,19,16,18,10,16,17,16,12,17,25,15,16,15,14,15,16,20,11,13,12,14,19,13,17,16,21,27,28,25,34,22,26,16,17,7,19,22,26,20,20,10,22,15,16,9,20,9,13,6,11,15,19,5,12,7,18,6,12,7,9,3,6,1,10,1,9,1,1,1,5,1,3,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1922,
131199,371,東京都,板橋区,2022/12/31,坂下一丁目,5678,2635,3043,10,16,12,14,19,11,9,16,16,15,19,17,19,15,21,17,23,18,15,18,19,18,12,16,24,17,11,17,21,18,15,11,16,18,19,18,21,24,18,31,32,39,32,38,33,39,27,53,39,57,56,49,43,75,42,42,43,54,46,47,29,44,35,39,24,38,25,26,35,24,39,37,27,37,27,34,39,38,23,33,26,40,42,27,32,35,36,34,34,41,28,37,52,41,34,43,44,30,35,48,59,42,45,54,54,48,42,50,35,41,42,44,26,40,28,35,38,30,39,28,24,30,30,27,34,41,35,32,29,35,28,28,19,34,32,38,26,27,28,27,41,46,45,25,42,36,44,60,49,52,33,43,38,40,25,33,28,34,30,27,16,35,23,33,18,28,21,36,18,23,18,31,15,32,13,31,5,15,1,13,5,8,3,18,5,10,3,9,3,10,0,6,1,4,0,2,1,3,0,1,0,2,0,0,0,2,0,0,0,0,0,0,3293,
131199,372,東京都,板橋区,2022/12/31,坂下二丁目,6503,3079,3424,32,25,26,37,21,19,36,26,17,26,23,18,23,25,23,16,21,19,19,29,20,29,25,19,26,28,18,31,26,23,26,31,32,32,32,27,27,24,33,32,26,31,25,34,40,43,26,45,40,34,46,49,35,46,45,42,38,53,36,56,52,61,41,44,61,55,35,46,54,53,47,47,41,53,46,27,48,41,48,51,37,47,38,32,46,44,38,33,53,51,51,56,57,50,51,50,56,59,55,59,51,69,62,45,53,43,61,53,43,53,48,54,36,37,53,40,42,39,35,45,38,39,31,36,24,27,34,37,33,30,25,37,26,26,28,40,34,33,37,45,29,38,27,36,38,42,39,51,36,34,35,37,28,30,21,29,24,33,24,29,20,38,31,39,19,25,12,23,8,17,14,21,15,28,13,26,9,24,6,15,5,19,3,11,7,12,2,8,0,4,0,4,1,5,1,1,0,1,0,4,0,1,0,1,0,1,0,0,0,1,0,0,3348,
131199,373,東京都,板橋区,2022/12/31,坂下三丁目,7568,3616,3952,25,22,25,22,25,35,37,20,21,26,29,32,40,35,23,38,41,27,35,46,31,37,27,34,38,31,30,34,29,28,25,33,26,14,27,21,24,28,24,31,40,30,31,35,45,44,30,47,35,47,39,50,34,49,38,51,41,33,32,40,32,37,44,34,39,46,37,34,54,49,35,45,40,40,39,41,51,49,60,61,58,52,56,61,61,69,62,60,62,45,68,57,70,61,59,65,72,76,48,54,82,65,65,55,48,65,60,44,57,49,52,56,32,41,50,39,42,50,33,40,44,41,45,41,28,39,31,32,35,27,30,23,42,42,37,43,27,51,44,42,39,42,43,38,75,55,57,74,61,61,70,85,37,52,38,50,36,44,43,58,38,51,36,49,27,37,20,38,10,34,22,32,18,36,21,40,7,16,8,23,13,15,7,18,3,9,2,12,0,10,4,10,3,9,0,6,0,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,3896,
131199,381,東京都,板橋区,2022/12/31,東坂下一丁目,2320,1122,1198,9,6,12,7,12,5,19,14,11,10,7,9,21,13,17,12,9,18,16,17,12,11,9,9,9,13,10,15,9,9,11,12,4,11,10,10,12,11,12,9,11,6,12,10,15,13,10,16,11,9,13,9,7,17,12,11,9,8,11,19,14,12,16,15,13,9,11,9,15,22,11,15,11,27,22,24,17,17,27,23,16,27,17,19,12,19,36,16,26,27,24,28,27,21,23,20,24,18,21,23,19,26,13,13,17,18,17,14,14,16,20,25,10,17,14,11,21,7,12,14,12,11,12,4,7,11,9,8,12,12,12,8,7,11,8,18,9,6,13,10,7,10,11,21,4,13,15,7,11,23,10,10,11,17,9,8,4,15,11,11,5,5,5,7,7,6,4,2,2,4,5,10,5,5,4,8,1,5,3,4,1,3,0,4,1,2,1,1,0,0,1,2,1,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1099,
131199,382,東京都,板橋区,2022/12/31,東坂下二丁目,1899,907,992,8,9,8,6,6,7,8,10,9,11,11,10,10,5,15,6,6,18,8,5,8,6,2,5,5,6,6,5,7,4,5,4,4,5,5,2,10,6,1,9,5,8,6,9,7,11,19,13,10,19,17,16,14,19,19,16,14,19,17,16,23,28,21,17,18,13,13,17,10,16,12,12,15,13,26,16,14,15,17,10,13,25,19,21,25,20,14,16,13,12,12,9,18,11,11,11,13,17,9,11,16,16,18,17,12,12,9,10,10,10,13,8,12,9,11,9,4,8,8,8,11,7,17,6,9,9,4,11,8,7,10,6,4,13,6,8,12,7,11,12,14,8,11,10,8,18,8,14,10,22,11,13,11,9,2,2,9,14,7,8,7,10,5,16,4,5,1,2,1,3,1,5,1,4,3,7,0,4,0,4,0,1,1,6,0,5,0,2,1,4,0,1,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1073,
131199,391,東京都,板橋区,2022/12/31,小豆沢一丁目,4960,2396,2564,21,23,20,23,28,24,28,39,35,37,55,40,45,43,44,36,39,27,27,25,26,25,16,19,27,22,20,13,19,18,20,20,11,17,13,11,21,10,15,20,23,19,20,21,16,27,23,18,37,19,36,31,29,35,19,33,31,24,25,19,19,29,28,29,41,45,21,47,34,21,32,42,36,45,50,43,48,39,50,51,55,56,42,52,43,49,72,59,49,45,45,46,51,47,38,34,39,36,36,43,43,40,36,32,43,34,29,38,32,34,33,26,24,29,29,30,26,28,36,27,20,29,15,21,30,24,26,23,24,22,17,15,14,16,12,21,18,23,11,14,17,23,16,24,24,24,18,18,17,32,22,27,10,18,6,17,15,25,11,23,19,13,17,26,11,25,14,14,6,24,8,25,6,10,5,15,5,12,2,9,2,5,1,8,2,6,1,6,1,1,1,5,2,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2461,
131199,392,東京都,板橋区,2022/12/31,小豆沢二丁目,5293,2538,2755,12,15,15,14,16,19,20,12,20,19,23,19,14,12,34,23,24,20,25,28,31,24,22,23,30,24,17,25,21,26,21,31,22,26,13,28,17,25,17,19,22,24,28,24,20,29,24,25,26,29,38,39,30,27,27,37,25,28,29,43,37,38,38,26,44,30,29,30,25,30,26,28,45,28,25,30,28,27,34,41,50,40,41,43,42,49,43,50,51,40,49,37,38,65,52,33,42,56,53,52,54,59,50,49,48,52,47,54,49,35,42,34,31,30,41,34,34,30,32,44,20,22,35,24,31,24,22,24,26,32,25,16,32,35,27,28,17,27,30,35,25,20,22,34,19,45,39,44,32,27,45,32,25,21,19,23,16,25,20,28,19,32,16,20,12,24,9,20,9,22,13,14,7,23,4,14,7,21,3,10,2,3,2,12,0,11,1,3,1,10,2,6,1,5,0,3,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,2748,
131199,393,東京都,板橋区,2022/12/31,小豆沢三丁目,1665,828,837,6,4,5,3,7,6,8,5,5,6,8,2,5,5,6,2,5,5,3,8,6,5,2,6,4,4,5,7,3,6,3,3,7,4,6,1,1,9,4,1,5,2,4,10,3,6,4,12,10,7,6,12,10,9,16,15,19,17,11,11,12,14,12,13,16,8,15,20,12,16,10,11,11,6,19,9,12,6,9,9,18,12,16,15,14,12,7,7,13,14,12,8,12,12,12,15,10,12,13,11,5,12,14,11,11,12,12,9,18,13,10,3,9,7,7,11,9,3,9,9,9,12,11,12,13,11,9,5,9,14,10,13,12,8,15,17,10,10,18,12,9,6,10,12,8,11,16,13,20,23,12,15,7,8,7,8,7,10,9,17,12,17,5,4,5,6,4,11,5,3,4,9,10,6,4,6,3,6,2,4,2,3,2,2,0,3,1,0,0,0,1,2,1,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,962,
