地域コード,地域,年,前年,人口,出生数,人口（前年）,15歳人口,年齢,age
132080,調布市,2018,2017,29254,1991,29705,2442,18歳,18
132080,調布市,2019,2018,29705,1893,29740,1928,17歳,17
132080,調布市,2020,2019,29740,1787,29680,1727,16歳,16
132080,調布市,2021,2020,29680,1761,29626,1707,15歳,15
132098,町田市,2009,2008,57765,3338,58213,3786,27歳,27
132098,町田市,2010,2009,58213,3402,58629,3818,26歳,26
132098,町田市,2011,2010,58629,3160,58354,2885,25歳,25
132098,町田市,2012,2011,58354,3044,58397,3087,24歳,24
132098,町田市,2013,2012,58397,2992,58025,2620,23歳,23
132098,町田市,2014,2013,58025,2932,57343,2250,22歳,22
132098,町田市,2015,2014,57343,2892,56459,2008,21歳,21
132098,町田市,2016,2015,56459,2830,55743,2114,20歳,20
132098,町田市,2017,2016,55743,2783,54912,1952,19歳,19
132098,町田市,2018,2017,54912,2658,53989,1735,18歳,18
132098,町田市,2019,2018,53989,2547,53072,1630,17歳,17
132098,町田市,2020,2019,53072,2464,52142,1534,16歳,16
132098,町田市,2021,2020,52142,2310,51165,1333,15歳,15
132101,小金井市,2009,2008,13371,943,13369,941,27歳,27
132101,小金井市,2010,2009,13369,966,13722,1319,26歳,26
132101,小金井市,2011,2010,13722,1003,13774,1055,25歳,25
132101,小金井市,2012,2011,13774,1006,13962,1194,24歳,24
132101,小金井市,2013,2012,13962,1094,14100,1232,23歳,23
132101,小金井市,2014,2013,14100,1115,14072,1087,22歳,22
132101,小金井市,2015,2014,14072,1109,14094,1131,21歳,21
132101,小金井市,2016,2015,14094,1034,14396,1336,20歳,20
132101,小金井市,2017,2016,14396,1026,14521,1151,19歳,19
132101,小金井市,2018,2017,14521,1088,14754,1321,18歳,18
132101,小金井市,2019,2018,14754,1016,15011,1273,17歳,17
132101,小金井市,2020,2019,15011,971,15425,1385,16歳,16
132101,小金井市,2021,2020,15425,948,15770,1293,15歳,15
132110,小平市,2009,2008,24216,1619,24173,1576,27歳,27
132110,小平市,2010,2009,24173,1537,23933,1297,26歳,26
132110,小平市,2011,2010,23933,1522,23855,1444,25歳,25
132110,小平市,2012,2011,23855,1554,24309,2008,24歳,24
132110,小平市,2013,2012,24309,1641,24366,1698,23歳,23
132110,小平市,2014,2013,24366,1580,24331,1545,22歳,22
132110,小平市,2015,2014,24331,1656,24552,1877,21歳,21
132110,小平市,2016,2015,24552,1603,24763,1814,20歳,20
132110,小平市,2017,2016,24763,1490,24953,1680,19歳,19
132110,小平市,2018,2017,24953,1619,25361,2027,18歳,18
132110,小平市,2019,2018,25361,1493,25505,1637,17歳,17
132110,小平市,2020,2019,25505,1404,25580,1479,16歳,16
132110,小平市,2021,2020,25580,1293,25274,987,15歳,15
132128,日野市,2009,2008,23270,1500,23289,1519,27歳,27
132128,日野市,2010,2009,23289,1596,23506,1813,26歳,26
132128,日野市,2011,2010,23506,1447,23432,1373,25歳,25
132128,日野市,2012,2011,23432,1512,23657,1737,24歳,24
132128,日野市,2013,2012,23657,1512,23749,1604,23歳,23
132128,日野市,2014,2013,23749,1464,23793,1508,22歳,22
132128,日野市,2015,2014,23793,1589,23985,1781,21歳,21
132128,日野市,2016,2015,23985,1580,23947,1542,20歳,20
132128,日野市,2017,2016,23947,1441,23754,1248,19歳,19
132128,日野市,2018,2017,23754,1410,23585,1241,18歳,18
132128,日野市,2019,2018,23585,1336,23458,1209,17歳,17
132128,日野市,2020,2019,23458,1389,23418,1349,16歳,16
132128,日野市,2021,2020,23418,1264,23127,973,15歳,15
132136,東村山市,2009,2008,19779,1285,19882,1388,27歳,27
132136,東村山市,2010,2009,19882,1326,19928,1372,26歳,26
132136,東村山市,2011,2010,19928,1256,19884,1212,25歳,25
132136,東村山市,2012,2011,19884,1125,19891,1132,24歳,24
132136,東村山市,2013,2012,19891,1114,19530,753,23歳,23
132136,東村山市,2014,2013,19530,1051,19143,664,22歳,22
132136,東村山市,2015,2014,19143,1105,18856,818,21歳,21
132136,東村山市,2016,2015,18856,972,18590,706,20歳,20
132136,東村山市,2017,2016,18590,969,18340,719,19歳,19
132136,東村山市,2018,2017,18340,964,18166,790,18歳,18
132136,東村山市,2019,2018,18166,933,18060,827,17歳,17
132136,東村山市,2020,2019,18060,944,17975,859,16歳,16
132136,東村山市,2021,2020,17975,887,17837,749,15歳,15
132144,国分寺市,2009,2008,14344,907,14357,920,27歳,27
132144,国分寺市,2010,2009,14357,922,14174,739,26歳,26
132144,国分寺市,2011,2010,14174,935,14089,850,25歳,25
132144,国分寺市,2012,2011,14089,908,14386,1205,24歳,24
132144,国分寺市,2013,2012,14386,988,14541,1143,23歳,23
132144,国分寺市,2014,2013,14541,938,14491,888,22歳,22
132144,国分寺市,2015,2014,14491,1067,14587,1163,21歳,21
132144,国分寺市,2016,2015,14587,1053,14716,1182,20歳,20
132144,国分寺市,2017,2016,14716,955,14843,1082,19歳,19
132144,国分寺市,2018,2017,14843,976,15160,1293,18歳,18
132144,国分寺市,2019,2018,15160,1005,15413,1258,17歳,17
132144,国分寺市,2020,2019,15413,958,15724,1269,16歳,16
132144,国分寺市,2021,2020,15724,988,15940,1204,15歳,15
132152,国立市,2009,2008,9210,581,9141,512,27歳,27
132152,国立市,2010,2009,9141,580,9041,480,26歳,26
132152,国立市,2011,2010,9041,517,8935,411,25歳,25
132152,国立市,2012,2011,8935,548,8985,598,24歳,24
132152,国立市,2013,2012,8985,623,8842,480,23歳,23
132152,国立市,2014,2013,8842,568,8864,590,22歳,22
132152,国立市,2015,2014,8864,581,8814,531,21歳,21
132152,国立市,2016,2015,8814,576,8797,559,20歳,20
132152,国立市,2017,2016,8797,558,8746,507,19歳,19
132152,国立市,2018,2017,8746,578,8739,571,18歳,18
132152,国立市,2019,2018,8739,467,8682,410,17歳,17
132152,国立市,2020,2019,8682,486,8671,475,16歳,16
132152,国立市,2021,2020,8671,427,8537,293,15歳,15
132187,福生市,2009,2008,7550,508,7278,236,27歳,27
132187,福生市,2010,2009,7278,517,7080,319,26歳,26
132187,福生市,2011,2010,7080,458,6850,228,25歳,25
132187,福生市,2012,2011,6850,439,6817,406,24歳,24
132187,福生市,2013,2012,6817,469,6654,306,23歳,23
132187,福生市,2014,2013,6654,427,6499,272,22歳,22
132187,福生市,2015,2014,6499,454,6403,358,21歳,21
132187,福生市,2016,2015,6403,442,6279,318,20歳,20
132187,福生市,2017,2016,6279,384,6196,301,19歳,19
132187,福生市,2018,2017,6196,399,6092,295,18歳,18
132187,福生市,2019,2018,6092,379,5941,228,17歳,17
132187,福生市,2020,2019,5941,367,5849,275,16歳,16
132187,福生市,2021,2020,5849,334,5665,150,15歳,15
132195,狛江市,2009,2008,8591,608,8601,618,27歳,27
132195,狛江市,2010,2009,8601,616,8645,660,26歳,26
132195,狛江市,2011,2010,8645,565,8603,523,25歳,25
132195,狛江市,2012,2011,8603,622,8728,747,24歳,24
132195,狛江市,2013,2012,8728,642,8796,710,23歳,23
132195,狛江市,2014,2013,8796,672,9045,921,22歳,22
132195,狛江市,2015,2014,9045,706,9217,878,21歳,21
132195,狛江市,2016,2015,9217,749,9367,899,20歳,20
132195,狛江市,2017,2016,9367,716,9540,889,19歳,19
132195,狛江市,2018,2017,9540,678,9666,804,18歳,18
132195,狛江市,2019,2018,9666,715,9883,932,17歳,17
132195,狛江市,2020,2019,9883,629,9880,626,16歳,16
132195,狛江市,2021,2020,9880,601,9822,543,15歳,15
132209,東大和市,2009,2008,11718,751,11628,661,27歳,27
132209,東大和市,2010,2009,11628,778,11764,914,26歳,26
132209,東大和市,2011,2010,11764,699,11699,634,25歳,25
132209,東大和市,2012,2011,11699,762,11752,815,24歳,24
132209,東大和市,2013,2012,11752,691,11721,660,23歳,23
132209,東大和市,2014,2013,11721,692,11624,595,22歳,22
132209,東大和市,2015,2014,11624,778,11597,751,21歳,21
132209,東大和市,2016,2015,11597,720,11491,614,20歳,20
132209,東大和市,2017,2016,11491,719,11376,604,19歳,19
132209,東大和市,2018,2017,11376,656,11221,501,18歳,18
132209,東大和市,2019,2018,11221,572,10962,313,17歳,17
132209,東大和市,2020,2019,10962,565,10829,432,16歳,16
132209,東大和市,2021,2020,10829,511,10562,244,15歳,15
132217,清瀬市,2009,2008,9664,551,9613,500,27歳,27
132217,清瀬市,2010,2009,9613,553,9634,574,26歳,26
132217,清瀬市,2011,2010,9634,527,9585,478,25歳,25
132217,清瀬市,2012,2011,9585,537,9589,541,24歳,24
132217,清瀬市,2013,2012,9589,555,9597,563,23歳,23
132217,清瀬市,2014,2013,9597,484,9534,421,22歳,22
132217,清瀬市,2015,2014,9534,535,9508,509,21歳,21
132217,清瀬市,2016,2015,9508,546,9431,469,20歳,20
132217,清瀬市,2017,2016,9431,513,9296,378,19歳,19
132217,清瀬市,2018,2017,9296,471,9200,375,18歳,18
132217,清瀬市,2019,2018,9200,453,8970,223,17歳,17
132217,清瀬市,2020,2019,8970,443,8904,377,16歳,16
132217,清瀬市,2021,2020,8904,455,8786,337,15歳,15
132225,東久留米市,2009,2008,15236,887,14952,603,27歳,27
132225,東久留米市,2010,2009,14952,920,14820,788,26歳,26
132225,東久留米市,2011,2010,14820,816,14610,606,25歳,25
132225,東久留米市,2012,2011,14610,874,14673,937,24歳,24
132225,東久留米市,2013,2012,14673,858,14645,830,23歳,23
132225,東久留米市,2014,2013,14645,926,14594,875,22歳,22
132225,東久留米市,2015,2014,14594,855,14585,846,21歳,21
132225,東久留米市,2016,2015,14585,867,14451,733,20歳,20
132225,東久留米市,2017,2016,14451,824,14297,670,19歳,19
132225,東久留米市,2018,2017,14297,780,14234,717,18歳,18
132225,東久留米市,2019,2018,14234,759,14122,647,17歳,17
132225,東久留米市,2020,2019,14122,710,13975,563,16歳,16
132225,東久留米市,2021,2020,13975,704,13940,669,15歳,15
132233,武蔵村山市,2009,2008,10805,652,10941,788,27歳,27
132233,武蔵村山市,2010,2009,10941,593,11032,684,26歳,26
132233,武蔵村山市,2011,2010,11032,592,11047,607,25歳,25
132233,武蔵村山市,2012,2011,11047,560,11037,550,24歳,24
132233,武蔵村山市,2013,2012,11037,554,10881,398,23歳,23
132233,武蔵村山市,2014,2013,10881,523,10769,411,22歳,22
132233,武蔵村山市,2015,2014,10769,549,10624,404,21歳,21
132233,武蔵村山市,2016,2015,10624,497,10438,311,20歳,20
132233,武蔵村山市,2017,2016,10438,494,10314,370,19歳,19
132233,武蔵村山市,2018,2017,10314,551,10193,430,18歳,18
132233,武蔵村山市,2019,2018,10193,466,9965,238,17歳,17
132233,武蔵村山市,2020,2019,9965,472,9650,157,16歳,16
132233,武蔵村山市,2021,2020,9650,418,9404,172,15歳,15
132241,多摩市,2009,2008,17924,1164,17973,1213,27歳,27
132241,多摩市,2010,2009,17973,1128,17823,978,26歳,26
132241,多摩市,2011,2010,17823,1049,17639,865,25歳,25
132241,多摩市,2012,2011,17639,994,17605,960,24歳,24
132241,多摩市,2013,2012,17605,1025,17981,1401,23歳,23
132241,多摩市,2014,2013,17981,1074,17925,1018,22歳,22
132241,多摩市,2015,2014,17925,1030,17836,941,21歳,21
132241,多摩市,2016,2015,17836,968,17687,819,20歳,20
132241,多摩市,2017,2016,17687,970,17624,907,19歳,19
132241,多摩市,2018,2017,17624,882,17420,678,18歳,18
132241,多摩市,2019,2018,17420,871,17258,709,17歳,17
132241,多摩市,2020,2019,17258,790,16923,455,16歳,16
132241,多摩市,2021,2020,16923,733,16343,153,15歳,15
132250,稲城市,2009,2008,12780,767,12822,809,27歳,27
132250,稲城市,2010,2009,12822,862,13125,1165,26歳,26
132250,稲城市,2011,2010,13125,769,13284,928,25歳,25
132250,稲城市,2012,2011,13284,768,13418,902,24歳,24
132250,稲城市,2013,2012,13418,826,13407,815,23歳,23
132250,稲城市,2014,2013,13407,741,13270,604,22歳,22
132250,稲城市,2015,2014,13270,770,13284,784,21歳,21
132250,稲城市,2016,2015,13284,820,13499,1035,20歳,20
132250,稲城市,2017,2016,13499,788,13498,787,19歳,19
132250,稲城市,2018,2017,13498,730,13403,635,18歳,18
132250,稲城市,2019,2018,13403,765,13384,746,17歳,17
132250,稲城市,2020,2019,13384,706,13334,656,16歳,16
132250,稲城市,2021,2020,13334,656,13213,535,15歳,15
132276,羽村市,2009,2008,8168,520,8142,494,27歳,27
132276,羽村市,2010,2009,8142,499,8047,404,26歳,26
132276,羽村市,2011,2010,8047,464,7890,307,25歳,25
132276,羽村市,2012,2011,7890,439,7878,427,24歳,24
132276,羽村市,2013,2012,7878,472,7704,298,23歳,23
132276,羽村市,2014,2013,7704,425,7572,293,22歳,22
132276,羽村市,2015,2014,7572,377,7374,179,21歳,21
132276,羽村市,2016,2015,7374,424,7269,319,20歳,20
132276,羽村市,2017,2016,7269,381,7102,214,19歳,19
132276,羽村市,2018,2017,7102,343,6960,201,18歳,18
132276,羽村市,2019,2018,6960,364,6804,208,17歳,17
132276,羽村市,2020,2019,6804,313,6579,88,16歳,16
132276,羽村市,2021,2020,6579,310,6416,147,15歳,15
132284,あきる野市,2009,2008,11642,669,11615,642,27歳,27
132284,あきる野市,2010,2009,11615,667,11546,598,26歳,26
132284,あきる野市,2011,2010,11546,655,11466,575,25歳,25
132284,あきる野市,2012,2011,11466,627,11339,500,24歳,24
132284,あきる野市,2013,2012,11339,621,11204,486,23歳,23
132284,あきる野市,2014,2013,11204,606,10986,388,22歳,22
132284,あきる野市,2015,2014,10986,563,10821,398,21歳,21
132284,あきる野市,2016,2015,10821,509,10580,268,20歳,20
132284,あきる野市,2017,2016,10580,544,10347,311,19歳,19
132284,あきる野市,2018,2017,10347,493,10260,406,18歳,18
132284,あきる野市,2019,2018,10260,466,9998,204,17歳,17
132284,あきる野市,2020,2019,9998,434,9781,217,16歳,16
132284,あきる野市,2021,2020,9781,424,9550,193,15歳,15
132292,西東京市,2009,2008,24593,1613,24529,1549,27歳,27
132292,西東京市,2010,2009,24529,1676,24950,2097,26歳,26
132292,西東京市,2011,2010,24950,1717,25015,1782,25歳,25
132292,西東京市,2012,2011,25015,1624,25140,1749,24歳,24
132292,西東京市,2013,2012,25140,1558,24820,1238,23歳,23
132292,西東京市,2014,2013,24820,1545,24767,1492,22歳,22
132292,西東京市,2015,2014,24767,1583,24708,1524,21歳,21
132292,西東京市,2016,2015,24708,1555,24677,1524,20歳,20
132292,西東京市,2017,2016,24677,1434,24772,1529,19歳,19
132292,西東京市,2018,2017,24772,1472,24954,1654,18歳,18
132292,西東京市,2019,2018,24954,1451,25118,1615,17歳,17
132292,西東京市,2020,2019,25118,1425,25207,1514,16歳,16
132292,西東京市,2021,2020,25207,1316,25152,1261,15歳,15
133035,瑞穂町,2009,2008,4867,225,4777,135,27歳,27
133035,瑞穂町,2010,2009,4777,220,4676,119,26歳,26
133035,瑞穂町,2011,2010,4676,218,4557,99,25歳,25
133035,瑞穂町,2012,2011,4557,209,4470,122,24歳,24
133035,瑞穂町,2013,2012,4470,217,4396,143,23歳,23
133035,瑞穂町,2014,2013,4396,230,4310,144,22歳,22
133035,瑞穂町,2015,2014,4310,214,4208,112,21歳,21
133035,瑞穂町,2016,2015,4208,212,4098,102,20歳,20
133035,瑞穂町,2017,2016,4098,200,3981,83,19歳,19
133035,瑞穂町,2018,2017,3981,196,3868,83,18歳,18
133035,瑞穂町,2019,2018,3868,156,3680,-32,17歳,17
133035,瑞穂町,2020,2019,3680,149,3567,36,16歳,16
133035,瑞穂町,2021,2020,3567,148,3450,31,15歳,15
133051,日の出町,2009,2008,1812,118,1917,223,27歳,27
133051,日の出町,2010,2009,1917,134,2006,223,26歳,26
133051,日の出町,2011,2010,2006,137,2092,223,25歳,25
133051,日の出町,2012,2011,2092,156,2233,297,24歳,24
133051,日の出町,2013,2012,2233,149,2287,203,23歳,23
133051,日の出町,2014,2013,2287,131,2331,175,22歳,22
133051,日の出町,2015,2014,2331,123,2369,161,21歳,21
133051,日の出町,2016,2015,2369,142,2390,163,20歳,20
133051,日の出町,2017,2016,2390,111,2393,114,19歳,19
133051,日の出町,2018,2017,2393,94,2353,54,18歳,18
133051,日の出町,2019,2018,2353,93,2341,81,17歳,17
133051,日の出町,2020,2019,2341,85,2306,50,16歳,16
133051,日の出町,2021,2020,2306,82,2246,22,15歳,15
133078,檜原村,2009,2008,207,13,192,-2,27歳,27
133078,檜原村,2010,2009,192,7,185,0,26歳,26
133078,檜原村,2011,2010,185,12,172,-1,25歳,25
133078,檜原村,2012,2011,172,16,176,20,24歳,24
133078,檜原村,2013,2012,176,7,168,-1,23歳,23
133078,檜原村,2014,2013,168,7,155,-6,22歳,22
133078,檜原村,2015,2014,155,10,152,7,21歳,21
133078,檜原村,2016,2015,152,10,135,-7,20歳,20
133078,檜原村,2017,2016,135,7,122,-6,19歳,19
133078,檜原村,2018,2017,122,20,137,35,18歳,18
133078,檜原村,2019,2018,137,8,139,10,17歳,17
133078,檜原村,2020,2019,139,8,137,6,16歳,16
133078,檜原村,2021,2020,137,8,150,21,15歳,15
133086,奥多摩町,2009,2008,466,14,437,-15,27歳,27
133086,奥多摩町,2010,2009,437,12,414,-11,26歳,26
133086,奥多摩町,2011,2010,414,19,400,5,25歳,25
133086,奥多摩町,2012,2011,400,19,362,-19,24歳,24
133086,奥多摩町,2013,2012,362,16,358,12,23歳,23
133086,奥多摩町,2014,2013,358,15,337,-6,22歳,22
133086,奥多摩町,2015,2014,337,6,331,0,21歳,21
133086,奥多摩町,2016,2015,331,14,325,8,20歳,20
133086,奥多摩町,2017,2016,325,15,339,29,19歳,19
133086,奥多摩町,2018,2017,339,19,348,28,18歳,18
133086,奥多摩町,2019,2018,348,8,337,-3,17歳,17
133086,奥多摩町,2020,2019,337,15,347,25,16歳,16
133086,奥多摩町,2021,2020,347,14,348,15,15歳,15
133612,大島町,2009,2008,1008,59,1006,57,27歳,27
133612,大島町,2010,2009,1006,63,997,54,26歳,26
133612,大島町,2011,2010,997,63,984,50,25歳,25
133612,大島町,2012,2011,984,57,944,17,24歳,24
133612,大島町,2013,2012,944,66,932,54,23歳,23
133612,大島町,2014,2013,932,48,914,30,22歳,22
133612,大島町,2015,2014,914,45,892,23,21歳,21
133612,大島町,2016,2015,892,44,855,7,20歳,20
133612,大島町,2017,2016,855,45,812,2,19歳,19
133612,大島町,2018,2017,812,34,775,-3,18歳,18
133612,大島町,2019,2018,775,48,764,37,17歳,17
133612,大島町,2020,2019,764,39,732,7,16歳,16
133612,大島町,2021,2020,732,31,709,8,15歳,15
133621,利島村,2009,2008,33,4,35,6,27歳,27
133621,利島村,2010,2009,35,2,47,14,26歳,26
133621,利島村,2011,2010,47,4,47,4,25歳,25
133621,利島村,2012,2011,47,0,48,1,24歳,24
133621,利島村,2013,2012,48,3,47,2,23歳,23
133621,利島村,2014,2013,47,3,47,3,22歳,22
133621,利島村,2015,2014,47,7,53,13,21歳,21
133621,利島村,2016,2015,53,2,54,3,20歳,20
133621,利島村,2017,2016,54,4,59,9,19歳,19
133621,利島村,2018,2017,59,3,61,5,18歳,18
133621,利島村,2019,2018,61,5,61,5,17歳,17
133621,利島村,2020,2019,61,1,49,-11,16歳,16
133621,利島村,2021,2020,49,1,52,4,15歳,15
133639,新島村,2009,2008,346,15,346,15,27歳,27
133639,新島村,2010,2009,346,15,336,5,26歳,26
133639,新島村,2011,2010,336,23,336,23,25歳,25
133639,新島村,2012,2011,336,18,342,24,24歳,24
133639,新島村,2013,2012,342,21,328,7,23歳,23
133639,新島村,2014,2013,328,17,319,8,22歳,22
133639,新島村,2015,2014,319,12,319,12,21歳,21
133639,新島村,2016,2015,319,20,306,7,20歳,20
133639,新島村,2017,2016,306,14,288,-4,19歳,19
133639,新島村,2018,2017,288,13,277,2,18歳,18
133639,新島村,2019,2018,277,15,286,24,17歳,17
133639,新島村,2020,2019,286,19,271,4,16歳,16
133639,新島村,2021,2020,271,11,243,-17,15歳,15
133647,神津島村,2009,2008,280,16,273,9,27歳,27
133647,神津島村,2010,2009,273,15,281,23,26歳,26
133647,神津島村,2011,2010,281,14,279,12,25歳,25
133647,神津島村,2012,2011,279,16,289,26,24歳,24
133647,神津島村,2013,2012,289,27,294,32,23歳,23
133647,神津島村,2014,2013,294,9,276,-9,22歳,22
133647,神津島村,2015,2014,276,20,281,25,21歳,21
133647,神津島村,2016,2015,281,11,266,-4,20歳,20
133647,神津島村,2017,2016,266,17,280,31,19歳,19
133647,神津島村,2018,2017,280,12,279,11,18歳,18
133647,神津島村,2019,2018,279,8,281,10,17歳,17
133647,神津島村,2020,2019,281,13,266,-2,16歳,16
133647,神津島村,2021,2020,266,11,265,10,15歳,15
133817,三宅村,2009,2008,180,19,189,28,27歳,27
133817,三宅村,2010,2009,189,20,204,35,26歳,26
133817,三宅村,2011,2010,204,9,207,12,25歳,25
133817,三宅村,2012,2011,207,23,227,43,24歳,24
133817,三宅村,2013,2012,227,7,229,9,23歳,23
133817,三宅村,2014,2013,229,20,234,25,22歳,22
133817,三宅村,2015,2014,234,19,218,3,21歳,21
133817,三宅村,2016,2015,218,14,214,10,20歳,20
133817,三宅村,2017,2016,214,20,220,26,19歳,19
133817,三宅村,2018,2017,220,21,229,30,18歳,18
133817,三宅村,2019,2018,229,16,226,13,17歳,17
133817,三宅村,2020,2019,226,18,231,23,16歳,16
133817,三宅村,2021,2020,231,15,242,26,15歳,15
133825,御蔵島村,2009,2008,50,3,53,6,27歳,27
133825,御蔵島村,2010,2009,53,9,63,19,26歳,26
133825,御蔵島村,2011,2010,63,5,60,2,25歳,25
133825,御蔵島村,2012,2011,60,7,59,6,24歳,24
133825,御蔵島村,2013,2012,59,5,55,1,23歳,23
133825,御蔵島村,2014,2013,55,5,53,3,22歳,22
133825,御蔵島村,2015,2014,53,4,55,6,21歳,21
133825,御蔵島村,2016,2015,55,6,55,6,20歳,20
133825,御蔵島村,2017,2016,55,6,65,16,19歳,19
133825,御蔵島村,2018,2017,65,5,65,5,18歳,18
133825,御蔵島村,2019,2018,65,2,63,0,17歳,17
133825,御蔵島村,2020,2019,63,2,61,0,16歳,16
133825,御蔵島村,2021,2020,61,2,57,-2,15歳,15
134015,八丈町,2009,2008,1006,55,960,9,27歳,27
134015,八丈町,2010,2009,960,52,944,36,26歳,26
134015,八丈町,2011,2010,944,54,941,51,25歳,25
134015,八丈町,2012,2011,941,45,931,35,24歳,24
134015,八丈町,2013,2012,931,52,909,30,23歳,23
134015,八丈町,2014,2013,909,53,902,46,22歳,22
134015,八丈町,2015,2014,902,58,911,67,21歳,21
134015,八丈町,2016,2015,911,62,921,72,20歳,20
134015,八丈町,2017,2016,921,37,885,1,19歳,19
134015,八丈町,2018,2017,885,56,856,27,18歳,18
134015,八丈町,2019,2018,856,50,828,22,17歳,17
134015,八丈町,2020,2019,828,43,806,21,16歳,16
134015,八丈町,2021,2020,806,45,778,17,15歳,15
134023,青ヶ島村,2009,2008,34,0,29,-5,27歳,27
134023,青ヶ島村,2010,2009,29,2,33,6,26歳,26
134023,青ヶ島村,2011,2010,33,0,33,0,25歳,25
134023,青ヶ島村,2012,2011,33,1,29,-3,24歳,24
134023,青ヶ島村,2013,2012,29,0,26,-3,23歳,23
134023,青ヶ島村,2014,2013,26,0,23,-3,22歳,22
134023,青ヶ島村,2015,2014,23,1,23,1,21歳,21
134023,青ヶ島村,2016,2015,23,1,19,-3,20歳,20
134023,青ヶ島村,2017,2016,19,1,22,4,19歳,19
134023,青ヶ島村,2018,2017,22,0,16,-6,18歳,18
134023,青ヶ島村,2019,2018,16,2,22,8,17歳,17
134023,青ヶ島村,2020,2019,22,1,20,-1,16歳,16
134023,青ヶ島村,2021,2020,20,0,17,-3,15歳,15
134210,小笠原村,2009,2008,423,32,441,50,27歳,27
134210,小笠原村,2010,2009,441,36,441,36,26歳,26
134210,小笠原村,2011,2010,441,29,465,53,25歳,25
134210,小笠原村,2012,2011,465,20,464,19,24歳,24
134210,小笠原村,2013,2012,464,25,455,16,23歳,23
134210,小笠原村,2014,2013,455,30,441,16,22歳,22
134210,小笠原村,2015,2014,441,30,442,31,21歳,21
134210,小笠原村,2016,2015,442,22,430,10,20歳,20
134210,小笠原村,2017,2016,430,23,450,43,19歳,19
134210,小笠原村,2018,2017,450,20,443,13,18歳,18
134210,小笠原村,2019,2018,443,16,440,13,17歳,17
134210,小笠原村,2020,2019,440,27,415,2,16歳,16
134210,小笠原村,2021,2020,415,17,398,0,15歳,15
