地域コード,地域,年,人口,age,年齢
133035,瑞穂町,,36,16,16歳
133035,瑞穂町,,31,15,15歳
133051,日の出町,,223,27,27歳
133051,日の出町,,223,26,26歳
133051,日の出町,,223,25,25歳
133051,日の出町,,297,24,24歳
133051,日の出町,,203,23,23歳
133051,日の出町,,175,22,22歳
133051,日の出町,,161,21,21歳
133051,日の出町,,163,20,20歳
133051,日の出町,,114,19,19歳
133051,日の出町,,54,18,18歳
133051,日の出町,,81,17,17歳
133051,日の出町,,50,16,16歳
133051,日の出町,,22,15,15歳
133078,檜原村,,-2,27,27歳
133078,檜原村,,0,26,26歳
133078,檜原村,,-1,25,25歳
133078,檜原村,,20,24,24歳
133078,檜原村,,-1,23,23歳
133078,檜原村,,-6,22,22歳
133078,檜原村,,7,21,21歳
133078,檜原村,,-7,20,20歳
133078,檜原村,,-6,19,19歳
133078,檜原村,,35,18,18歳
133078,檜原村,,10,17,17歳
133078,檜原村,,6,16,16歳
133078,檜原村,,21,15,15歳
133086,奥多摩町,,-15,27,27歳
133086,奥多摩町,,-11,26,26歳
133086,奥多摩町,,5,25,25歳
133086,奥多摩町,,-19,24,24歳
133086,奥多摩町,,12,23,23歳
133086,奥多摩町,,-6,22,22歳
133086,奥多摩町,,0,21,21歳
133086,奥多摩町,,8,20,20歳
133086,奥多摩町,,29,19,19歳
133086,奥多摩町,,28,18,18歳
133086,奥多摩町,,-3,17,17歳
133086,奥多摩町,,25,16,16歳
133086,奥多摩町,,15,15,15歳
133612,大島町,,57,27,27歳
133612,大島町,,54,26,26歳
133612,大島町,,50,25,25歳
133612,大島町,,17,24,24歳
133612,大島町,,54,23,23歳
133612,大島町,,30,22,22歳
133612,大島町,,23,21,21歳
133612,大島町,,7,20,20歳
133612,大島町,,2,19,19歳
133612,大島町,,-3,18,18歳
133612,大島町,,37,17,17歳
133612,大島町,,7,16,16歳
133612,大島町,,8,15,15歳
133621,利島村,,6,27,27歳
133621,利島村,,14,26,26歳
133621,利島村,,4,25,25歳
133621,利島村,,1,24,24歳
133621,利島村,,2,23,23歳
133621,利島村,,3,22,22歳
133621,利島村,,13,21,21歳
133621,利島村,,3,20,20歳
133621,利島村,,9,19,19歳
133621,利島村,,5,18,18歳
133621,利島村,,5,17,17歳
133621,利島村,,-11,16,16歳
133621,利島村,,4,15,15歳
133639,新島村,,15,27,27歳
133639,新島村,,5,26,26歳
133639,新島村,,23,25,25歳
133639,新島村,,24,24,24歳
133639,新島村,,7,23,23歳
133639,新島村,,8,22,22歳
133639,新島村,,12,21,21歳
133639,新島村,,7,20,20歳
133639,新島村,,-4,19,19歳
133639,新島村,,2,18,18歳
133639,新島村,,24,17,17歳
133639,新島村,,4,16,16歳
133639,新島村,,-17,15,15歳
133647,神津島村,,9,27,27歳
133647,神津島村,,23,26,26歳
133647,神津島村,,12,25,25歳
133647,神津島村,,26,24,24歳
133647,神津島村,,32,23,23歳
133647,神津島村,,-9,22,22歳
133647,神津島村,,25,21,21歳
133647,神津島村,,-4,20,20歳
133647,神津島村,,31,19,19歳
133647,神津島村,,11,18,18歳
133647,神津島村,,10,17,17歳
133647,神津島村,,-2,16,16歳
133647,神津島村,,10,15,15歳
133817,三宅村,,28,27,27歳
133817,三宅村,,35,26,26歳
133817,三宅村,,12,25,25歳
133817,三宅村,,43,24,24歳
133817,三宅村,,9,23,23歳
133817,三宅村,,25,22,22歳
133817,三宅村,,3,21,21歳
133817,三宅村,,10,20,20歳
133817,三宅村,,26,19,19歳
133817,三宅村,,30,18,18歳
133817,三宅村,,13,17,17歳
133817,三宅村,,23,16,16歳
133817,三宅村,,26,15,15歳
133825,御蔵島村,,6,27,27歳
133825,御蔵島村,,19,26,26歳
133825,御蔵島村,,2,25,25歳
133825,御蔵島村,,6,24,24歳
133825,御蔵島村,,1,23,23歳
133825,御蔵島村,,3,22,22歳
133825,御蔵島村,,6,21,21歳
133825,御蔵島村,,6,20,20歳
133825,御蔵島村,,16,19,19歳
133825,御蔵島村,,5,18,18歳
133825,御蔵島村,,0,17,17歳
133825,御蔵島村,,0,16,16歳
133825,御蔵島村,,-2,15,15歳
134015,八丈町,,9,27,27歳
134015,八丈町,,36,26,26歳
134015,八丈町,,51,25,25歳
134015,八丈町,,35,24,24歳
134015,八丈町,,30,23,23歳
134015,八丈町,,46,22,22歳
134015,八丈町,,67,21,21歳
134015,八丈町,,72,20,20歳
134015,八丈町,,1,19,19歳
134015,八丈町,,27,18,18歳
134015,八丈町,,22,17,17歳
134015,八丈町,,21,16,16歳
134015,八丈町,,17,15,15歳
134023,青ヶ島村,,-5,27,27歳
134023,青ヶ島村,,6,26,26歳
134023,青ヶ島村,,0,25,25歳
134023,青ヶ島村,,-3,24,24歳
134023,青ヶ島村,,-3,23,23歳
134023,青ヶ島村,,-3,22,22歳
134023,青ヶ島村,,1,21,21歳
134023,青ヶ島村,,-3,20,20歳
134023,青ヶ島村,,4,19,19歳
134023,青ヶ島村,,-6,18,18歳
134023,青ヶ島村,,8,17,17歳
134023,青ヶ島村,,-1,16,16歳
134023,青ヶ島村,,-3,15,15歳
134210,小笠原村,,50,27,27歳
134210,小笠原村,,36,26,26歳
134210,小笠原村,,53,25,25歳
134210,小笠原村,,19,24,24歳
134210,小笠原村,,16,23,23歳
134210,小笠原村,,16,22,22歳
134210,小笠原村,,31,21,21歳
134210,小笠原村,,10,20,20歳
134210,小笠原村,,43,19,19歳
134210,小笠原村,,13,18,18歳
134210,小笠原村,,13,17,17歳
134210,小笠原村,,2,16,16歳
134210,小笠原村,,0,15,15歳
