地域コード,地域,年,人口,age,年齢
131041,新宿区,,2598,26,26歳
131041,新宿区,,2236,25,25歳
131041,新宿区,,5413,24,24歳
131041,新宿区,,2718,23,23歳
131041,新宿区,,2879,22,22歳
131041,新宿区,,3263,21,21歳
131041,新宿区,,3347,20,20歳
131041,新宿区,,3722,19,19歳
131041,新宿区,,3359,18,18歳
131041,新宿区,,2786,17,17歳
131041,新宿区,,2651,16,16歳
131041,新宿区,,2219,15,15歳
131059,文京区,,1858,27,27歳
131059,文京区,,2141,26,26歳
131059,文京区,,2320,25,25歳
131059,文京区,,2622,24,24歳
131059,文京区,,2724,23,23歳
131059,文京区,,2662,22,22歳
131059,文京区,,2878,21,21歳
131059,文京区,,3124,20,20歳
131059,文京区,,2801,19,19歳
131059,文京区,,3064,18,18歳
131059,文京区,,2980,17,17歳
131059,文京区,,2949,16,16歳
131059,文京区,,2144,15,15歳
131067,台東区,,1180,27,27歳
131067,台東区,,1442,26,26歳
131067,台東区,,1388,25,25歳
131067,台東区,,2590,24,24歳
131067,台東区,,1655,23,23歳
131067,台東区,,1879,22,22歳
131067,台東区,,1731,21,21歳
131067,台東区,,1814,20,20歳
131067,台東区,,1842,19,19歳
131067,台東区,,1890,18,18歳
131067,台東区,,1779,17,17歳
131067,台東区,,1642,16,16歳
131067,台東区,,1242,15,15歳
131075,墨田区,,2261,27,27歳
131075,墨田区,,2311,26,26歳
131075,墨田区,,1918,25,25歳
131075,墨田区,,2997,24,24歳
131075,墨田区,,2273,23,23歳
131075,墨田区,,2657,22,22歳
131075,墨田区,,3096,21,21歳
131075,墨田区,,2786,20,20歳
131075,墨田区,,2952,19,19歳
131075,墨田区,,2720,18,18歳
131075,墨田区,,2580,17,17歳
131075,墨田区,,2282,16,16歳
131075,墨田区,,1823,15,15歳
131083,江東区,,6350,27,27歳
131083,江東区,,5755,26,26歳
131083,江東区,,5518,25,25歳
131083,江東区,,8006,24,24歳
131083,江東区,,6294,23,23歳
131083,江東区,,6350,22,22歳
131083,江東区,,6727,21,21歳
131083,江東区,,5997,20,20歳
131083,江東区,,5790,19,19歳
131083,江東区,,5324,18,18歳
131083,江東区,,4342,17,17歳
131083,江東区,,4876,16,16歳
131083,江東区,,3332,15,15歳
131091,品川区,,4320,27,27歳
131091,品川区,,3896,26,26歳
131091,品川区,,3960,25,25歳
131091,品川区,,5259,24,24歳
131091,品川区,,4327,23,23歳
131091,品川区,,4411,22,22歳
131091,品川区,,5199,21,21歳
131091,品川区,,4971,20,20歳
131091,品川区,,4957,19,19歳
131091,品川区,,5071,18,18歳
131091,品川区,,5219,17,17歳
131091,品川区,,5034,16,16歳
131091,品川区,,3380,15,15歳
131105,目黒区,,2211,27,27歳
131105,目黒区,,2582,26,26歳
131105,目黒区,,2417,25,25歳
131105,目黒区,,3279,24,24歳
131105,目黒区,,2836,23,23歳
131105,目黒区,,3309,22,22歳
131105,目黒区,,3087,21,21歳
131105,目黒区,,3141,20,20歳
131105,目黒区,,3528,19,19歳
131105,目黒区,,3045,18,18歳
131105,目黒区,,2938,17,17歳
131105,目黒区,,2540,16,16歳
131105,目黒区,,1810,15,15歳
131113,大田区,,5978,27,27歳
131113,大田区,,5815,26,26歳
131113,大田区,,5522,25,25歳
131113,大田区,,7088,24,24歳
131113,大田区,,6197,23,23歳
131113,大田区,,6559,22,22歳
131113,大田区,,6464,21,21歳
131113,大田区,,6243,20,20歳
131113,大田区,,6178,19,19歳
131113,大田区,,6214,18,18歳
131113,大田区,,5198,17,17歳
131113,大田区,,5341,16,16歳
131113,大田区,,3879,15,15歳
131121,世田谷区,,8287,27,27歳
131121,世田谷区,,8855,26,26歳
131121,世田谷区,,8384,25,25歳
131121,世田谷区,,9974,24,24歳
131121,世田谷区,,9298,23,23歳
131121,世田谷区,,9896,22,22歳
131121,世田谷区,,9977,21,21歳
131121,世田谷区,,9883,20,20歳
131121,世田谷区,,8824,19,19歳
131121,世田谷区,,8808,18,18歳
131121,世田谷区,,7526,17,17歳
131121,世田谷区,,7078,16,16歳
131121,世田谷区,,5915,15,15歳
131130,渋谷区,,2117,27,27歳
131130,渋谷区,,2186,26,26歳
131130,渋谷区,,2044,25,25歳
131130,渋谷区,,3343,24,24歳
131130,渋谷区,,2454,23,23歳
131130,渋谷区,,2691,22,22歳
131130,渋谷区,,3029,21,21歳
131130,渋谷区,,2846,20,20歳
131130,渋谷区,,2816,19,19歳
131130,渋谷区,,2665,18,18歳
131130,渋谷区,,2658,17,17歳
131130,渋谷区,,2416,16,16歳
131130,渋谷区,,1871,15,15歳
131148,中野区,,2291,27,27歳
131148,中野区,,2201,26,26歳
131148,中野区,,2202,25,25歳
131148,中野区,,3095,24,24歳
131148,中野区,,2805,23,23歳
131148,中野区,,3067,22,22歳
131148,中野区,,3451,21,21歳
131148,中野区,,3222,20,20歳
131148,中野区,,3072,19,19歳
131148,中野区,,2994,18,18歳
131148,中野区,,2862,17,17歳
131148,中野区,,3061,16,16歳
131148,中野区,,2559,15,15歳
131156,杉並区,,4376,27,27歳
131156,杉並区,,5029,26,26歳
131156,杉並区,,4603,25,25歳
131156,杉並区,,5248,24,24歳
131156,杉並区,,5367,23,23歳
131156,杉並区,,5631,22,22歳
131156,杉並区,,6124,21,21歳
131156,杉並区,,5862,20,20歳
131156,杉並区,,5393,19,19歳
131156,杉並区,,5739,18,18歳
131156,杉並区,,5227,17,17歳
131156,杉並区,,5184,16,16歳
131156,杉並区,,3991,15,15歳
131164,豊島区,,2086,27,27歳
131164,豊島区,,2122,26,26歳
131164,豊島区,,2349,25,25歳
131164,豊島区,,3065,24,24歳
131164,豊島区,,2595,23,23歳
131164,豊島区,,2697,22,22歳
131164,豊島区,,2627,21,21歳
131164,豊島区,,2785,20,20歳
131164,豊島区,,2621,19,19歳
131164,豊島区,,2710,18,18歳
131164,豊島区,,2502,17,17歳
131164,豊島区,,2081,16,16歳
131164,豊島区,,1786,15,15歳
131172,北区,,2397,27,27歳
131172,北区,,2556,26,26歳
131172,北区,,2262,25,25歳
131172,北区,,4006,24,24歳
131172,北区,,3246,23,23歳
131172,北区,,3651,22,22歳
131172,北区,,3266,21,21歳
131172,北区,,3719,20,20歳
131172,北区,,3388,19,19歳
131172,北区,,3736,18,18歳
131172,北区,,3265,17,17歳
131172,北区,,3100,16,16歳
131172,北区,,2593,15,15歳
131181,荒川区,,2021,27,27歳
131181,荒川区,,2282,26,26歳
131181,荒川区,,2142,25,25歳
131181,荒川区,,3255,24,24歳
131181,荒川区,,2131,23,23歳
131181,荒川区,,2249,22,22歳
131181,荒川区,,2144,21,21歳
131181,荒川区,,2221,20,20歳
131181,荒川区,,1959,19,19歳
131181,荒川区,,1671,18,18歳
131181,荒川区,,1769,17,17歳
131181,荒川区,,1661,16,16歳
131181,荒川区,,1380,15,15歳
131199,板橋区,,4422,27,27歳
131199,板橋区,,4247,26,26歳
131199,板橋区,,4424,25,25歳
131199,板橋区,,5958,24,24歳
131199,板橋区,,4878,23,23歳
