年,区名,当落,得票数,氏名,よみ,年齢,性別,党派,新旧,主な肩書き,得票率%,略称党名,党順序,自治体コード
2015,目黒,当,2121,小野瀬　康裕,おのせ　やすひろ,43,男,自民,現,区議会議員,2.459,自民,1,131105
2015,目黒,当,2082,宗田　次郎,そうだ　じろう,54,男,自民,現,区議会議員,2.414,自民,1,131105
2015,目黒,当,1923,西村　千帆,にしむら　ちほ,41,女,自民,新,会社員,2.229,自民,1,131105
2015,目黒,当,1858.75,佐藤　昇,さとう　のぼる,50,男,自民,現,区議会議員,2.155,自民,1,131105
2015,目黒,当,1852,宮沢　宏行,みやざわ　ひろゆき,50,男,自民,現,区議会議員,2.147,自民,1,131105
2015,目黒,当,1793,田島　憲二,たじま　けんじ,60,男,自民,現,区議会議員,2.079,自民,1,131105
2015,目黒,当,1588,小林　佳奈子,こばやし　かなこ,38,女,自民,新,国会議員秘書,1.841,自民,1,131105
2015,目黒,当,1588,磯野　弘三,いその　こうぞう,48,男,自民,現,区議会議員,1.841,自民,1,131105
2015,目黒,当,1586,今井　礼子,いまい　れいこ,67,女,自民,現,区議会議員,1.839,自民,1,131105
2015,目黒,当,1580,鈴木　理志,すずき　まさし,51,男,自民,新,会社役員,1.832,自民,1,131105
2015,目黒,当,1509,飯田　倫子,いいだ　みちこ,68,女,自民,現,区議会議員,1.749,自民,1,131105
2015,目黒,当,1434.569,河野　陽子,こうの　ようこ,52,女,自民,新,無職,1.663,自民,1,131105
2015,目黒,落,1326.535,佐藤　光伸,さとう　みつのぶ,33,男,自民,新,弁護士,1.538,自民,1,131105
2015,目黒,落,1197,伊藤　喜昭,いとう　よしあき,71,男,自民,現,区議会議員,1.388,自民,1,131105
2015,目黒,落,1152.394,赤城　裕,あかぎ　ゆたか,51,男,自民,現,区議会議員,1.336,自民,1,131105
2015,目黒,落,1100,清水　昌樹,しみず　まさき,54,男,自民,現,区議会議員,1.275,自民,1,131105
2019,目黒,当,2398,河野　陽子,,56,女,自民,現,,2.607,自民,1,131105
2019,目黒,当,2294.69,佐藤　昇,,54,男,自民,現,,2.494,自民,1,131105
2019,目黒,当,2165,宗田　次郎,,58,男,自民,現,,2.353,自民,1,131105
2019,目黒,当,2122,西村　千帆,,45,女,自民,現,,2.307,自民,1,131105
2019,目黒,当,2060,小野瀬　康裕,,47,男,自民,現,,2.239,自民,1,131105
2019,目黒,当,2051,宮沢　宏行,,54,男,自民,現,,2.229,自民,1,131105
2019,目黒,当,1878,小林　佳奈子,,42,女,自民,現,,2.041,自民,1,131105
2019,目黒,当,1723,磯野　弘三,,52,男,自民,現,,1.873,自民,1,131105
2019,目黒,当,1597.154,田島　憲二,,64,男,自民,現,,1.736,自民,1,131105
2019,目黒,当,1588,鈴木　理志,,55,男,自民,現,,1.726,自民,1,131105
2019,目黒,落,1499.779,橋本　欣一,,53,男,自民,現,,1.63,自民,1,131105
2019,目黒,落,1487,竹村　雄尉,,35,男,自民,現,,1.616,自民,1,131105
2019,目黒,落,1457,今井　礼子,,71,女,自民,現,,1.584,自民,1,131105
2019,目黒,落,1403,飯田　倫子,,72,女,自民,現,,1.525,自民,1,131105
2019,目黒,落,1232,清水　昌樹,,58,男,自民,元,,1.339,自民,1,131105
2011,目黒,当,2084,森　美彦,もり　よしひこ,59,男,共産,現,区議会議員,2.51,共産,5,131105
2011,目黒,当,1945,石川　恭子,いしかわ　きょうこ,56,女,共産,現,区議会議員,2.342,共産,5,131105
2011,目黒,当,1705,星見　定子,ほしみ　ていこ,53,女,共産,現,区議会議員,2.053,共産,5,131105
2011,目黒,当,1408,岩崎　史博,いわさき　ふみひろ,46,男,共産,現,区議会議員,1.696,共産,5,131105
2011,目黒,落,1261,松嶋　祐一郎,まつしま　ゆういちろう,29,男,共産,新,政党職員,1.519,共産,5,131105
2015,目黒,当,2696,星見　定子,ほしみ　ていこ,57,女,共産,現,区議会議員,3.126,共産,5,131105
2015,目黒,当,2542,松嶋　祐一郎,まつしま　ゆういちろう,33,男,共産,新,政党職員,2.947,共産,5,131105
2015,目黒,当,2516,石川　恭子,いしかわ　きょうこ,60,女,共産,現,区議会議員,2.917,共産,5,131105
2015,目黒,当,2192,森　美彦,もり　よしひこ,63,男,共産,現,区議会議員,2.541,共産,5,131105
2015,目黒,当,1739,岩崎　史博,いわさき　ふみひろ,50,男,共産,現,区議会議員,2.016,共産,5,131105
2019,目黒,当,2472,石川　恭子,,64,女,共産,現,,2.687,共産,5,131105
2019,目黒,当,1814,松嶋　祐一郎,,37,男,共産,現,,1.972,共産,5,131105
2019,目黒,当,1807,芋川　祐樹,,36,男,共産,新,,1.964,共産,5,131105
2019,目黒,当,1695,岩崎　史博,,54,男,共産,現,,1.843,共産,5,131105
2019,目黒,当,1535,斉藤　優子,,50,女,共産,新,,1.669,共産,5,131105
2011,目黒,当,2061,鴨志田　リエ,かもしだ　りえ,52,女,民主,現,会社役員,2.482,民主,80,131105
2011,目黒,当,1934,青木　早苗,あおき　さなえ,63,女,民主,現,区議会議員,2.329,民主,80,131105
2011,目黒,当,1596,吉野　正人,よしの　まさと,44,男,民主,新,会社員,1.922,民主,80,131105
2011,目黒,当,1385,香野　茜,こうの　あかね,32,女,民主,現,区議会議員,1.668,民主,80,131105
2011,目黒,当,1384.184,木村　洋子,きむら　ようこ,61,女,民主,現,区議会議員,1.667,民主,80,131105
2011,目黒,落,1310,西崎　翔,にしざき　つばさ,27,男,民主,新,無職,1.578,民主,80,131105
2011,目黒,落,1003,富士見　大郎,ふじみ　だいろう,42,男,民主,現,区議会議員,1.208,民主,80,131105
2011,目黒,落,893,村田　信之,むらた　のぶゆき,44,男,民主,新,ジャーナリスト,1.075,民主,80,131105
2011,目黒,落,807,土屋　克彦,つちや　かつひこ,41,男,民主,現,区議会議員,0.972,民主,80,131105
